Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company;Name_norm
Madden NFL 2005;Xbox;2004;EA Tiburon;1.72;1.61;0.03;0.0;0.08;6th Gen;Home Console;Microsoft;madden nfl 2005
Madden NFL 25;PlayStation 3;2013;EA Tiburon;2.03;1.62;0.03;0.0;0.38;7th Gen;Home Console;Sony;madden nfl 25
Madden NFL 25;PlayStation 4;2013;EA Tiburon;0.96;0.64;0.15;0.0;0.17;8th Gen;Home Console;Sony;madden nfl 25
Madden NFL 25;Xbox 360;2013;EA Tiburon;2.34;2.02;0.07;0.0;0.25;7th Gen;Home Console;Microsoft;madden nfl 25
Madden NFL 25;Xbox One;2013;EA Tiburon;0.84;0.69;0.06;0.0;0.09;8th Gen;Home Console;Microsoft;madden nfl 25
Madden NFL 97;PlayStation;1996;EA Tiburon;1.32;0.73;0.5;0.0;0.09;5th Gen;Home Console;Sony;madden nfl 97
Madden NFL 98;PlayStation;1997;EA Tiburon;1.35;1.29;0.03;0.0;0.03;5th Gen;Home Console;Sony;madden nfl 98
Madden NFL 99;Nintendo 64;1998;EA Tiburon;0.9;0.84;0.05;0.0;0.01;5th Gen;Home Console;Nintendo;madden nfl 99
Madden NFL 99;PlayStation;1998;EA Sports;1.74;1.66;0.04;0.0;0.04;5th Gen;Home Console;Sony;madden nfl 99
Madden NFL Football;Nintendo 3DS;2011;EA Tiburon;0.41;0.37;0.01;0.0;0.03;8th Gen;Handheld;Nintendo;madden nfl football
MadWorld;Wii;2009;PlatinumGames;0.78;0.45;0.24;0.02;0.07;7th Gen;Home Console;Nintendo;madworld
Mafia;PlayStation 2;2004;Illusion Softworks;0.7;0.34;0.27;0.0;0.09;6th Gen;Home Console;Sony;mafia
Mafia;Xbox;2004;Illusion Softworks;0.23;0.17;0.05;0.0;0.01;6th Gen;Home Console;Microsoft;mafia
Mafia II;PlayStation 3;2010;Illusion Softworks;1.49;0.5;0.7;0.04;0.25;7th Gen;Home Console;Sony;mafia ii
Mafia II;Xbox 360;2010;Illusion Softworks;1.55;0.85;0.55;0.0;0.15;7th Gen;Home Console;Microsoft;mafia ii
Mafia III;PlayStation 4;2016;Hangar 13;2.87;0.72;1.67;0.04;0.44;8th Gen;Home Console;Sony;mafia iii
Mafia III;Xbox One;2016;Hangar 13;1.11;0.54;0.48;0.0;0.09;8th Gen;Home Console;Microsoft;mafia iii
MAG: Massive Action Game;PlayStation 3;2010;Zipper Interactive;1.32;0.77;0.3;0.09;0.16;7th Gen;Home Console;Sony;mag massive action game
Magic Carpet;PlayStation;1996;Bullfrog Productions;0.05;0.03;0.02;0.0;0.0;5th Gen;Home Console;Sony;magic carpet
Magic Encyclopedia: Moonlight;Nintendo DS;2010;Foreign Media Games;0.01;0.0;0.01;0.0;0.0;7th Gen;Handheld;Nintendo;magic encyclopedia moonlight
Magic Pengel: The Quest for Color;PlayStation 2;2003;Garakuda Studio;0.08;0.04;0.03;0.0;0.01;6th Gen;Home Console;Sony;magic pengel the quest for color
Magic: The Gathering - Battlegrounds;Xbox;2003;Secret Level;0.16;0.12;0.03;0.0;0.01;6th Gen;Home Console;Microsoft;magic the gathering battlegrounds
Magic: The Gathering - Battlemage;PlayStation;1997;Realtime Associates;0.13;0.07;0.05;0.0;0.01;5th Gen;Home Console;Sony;magic the gathering battlemage
Magical Starsign (US sales);Nintendo DS;2006;Brownie Brown;0.16;0.14;0.02;0.0;0.0;7th Gen;Handheld;Nintendo;magical starsign (us sales)
Magical Tetris Challenge;Nintendo 64;1998;Capcom;0.2;0.13;0.02;0.05;0.0;5th Gen;Home Console;Nintendo;magical tetris challenge
Magical ZhuZhu Princess: Carriages & Castles;Nintendo DS;2011;Black Lantern Studios;0.19;0.13;0.04;0.0;0.02;7th Gen;Handheld;Nintendo;magical zhuzhu princess carriages & castles
Magician's Quest: Mysterious Times;Nintendo DS;2009;Konami;0.53;0.04;0.01;0.48;0.0;7th Gen;Handheld;Nintendo;magicians quest mysterious times
Magna Carta 2;Xbox 360;2009;SoftMax;0.29;0.13;0.07;0.07;0.02;7th Gen;Home Console;Microsoft;magna carta 2
Magna Carta: Tears of Blood;PlayStation 2;2005;SoftMax;0.22;0.11;0.08;0.0;0.03;6th Gen;Home Console;Sony;magna carta tears of blood
Magnetica;Nintendo DS;2006;Mitchell;0.13;0.08;0.01;0.03;0.01;7th Gen;Handheld;Nintendo;magnetica
Mah Jong Quest: Expeditions;Nintendo DS;2007;Game Brains;0.29;0.02;0.26;0.0;0.01;7th Gen;Handheld;Nintendo;mah jong quest expeditions
Mahjong 300;Nintendo DS;2011;Avanquest Software;0.03;0.0;0.03;0.0;0.0;7th Gen;Handheld;Nintendo;mahjong 300
Mahjong 3D: Warriors of the Emperor;Nintendo 3DS;2020;Engine Software;0.05;0.0;0.05;0.0;0.0;8th Gen;Handheld;Nintendo;mahjong 3d warriors of the emperor
Mahjong: Journey Quest for Tikal;Nintendo DS;2008;Cerasus Media;0.19;0.15;0.03;0.0;0.01;7th Gen;Handheld;Nintendo;mahjong journey quest for tikal
Mahjongg Mysteries: Ancient Egypt;Nintendo DS;2010;LvivMedia;0.2;0.07;0.11;0.0;0.02;7th Gen;Handheld;Nintendo;mahjongg mysteries ancient egypt
Majin and the Forsaken Kingdom;PlayStation 3;2010;Game Republic;0.29;0.09;0.14;0.01;0.05;7th Gen;Home Console;Sony;majin and the forsaken kingdom
Majin and the Forsaken Kingdom;Xbox 360;2010;Game Republic;0.18;0.14;0.03;0.0;0.01;7th Gen;Home Console;Microsoft;majin and the forsaken kingdom
Major League Baseball 2K10;PlayStation 2;2010;Visual Concepts;0.23;0.11;0.09;0.0;0.03;6th Gen;Home Console;Sony;major league baseball 2k10
Major League Baseball 2K11;PlayStation 2;2011;Visual Concepts;0.05;0.02;0.02;0.0;0.01;6th Gen;Home Console;Sony;major league baseball 2k11
Major League Baseball 2K11;PlayStation 3;2011;Visual Concepts;0.2;0.15;0.03;0.0;0.02;7th Gen;Home Console;Sony;major league baseball 2k11
Major League Baseball 2K11;Xbox 360;2011;Visual Concepts;0.46;0.4;0.03;0.0;0.03;7th Gen;Home Console;Microsoft;major league baseball 2k11
Major League Baseball 2K5;PlayStation 2;2005;Kush Games;1.47;0.72;0.56;0.0;0.19;6th Gen;Home Console;Sony;major league baseball 2k5
Major League Baseball 2K5;Xbox;2005;Kush Games;0.56;0.52;0.02;0.0;0.02;6th Gen;Home Console;Microsoft;major league baseball 2k5
Major League Baseball 2K6;GameCube;2006;Kush Games;0.16;0.13;0.03;0.0;0.0;6th Gen;Home Console;Nintendo;major league baseball 2k6
Major League Baseball 2K6;PlayStation 2;2006;Kush Games;0.44;0.37;0.01;0.0;0.06;6th Gen;Home Console;Sony;major league baseball 2k6
Major League Baseball 2K6;Xbox;2006;Kush Games;0.32;0.24;0.07;0.0;0.01;6th Gen;Home Console;Microsoft;major league baseball 2k6
Major League Baseball 2K7;PlayStation 2;2007;Kush Games;0.6;0.29;0.23;0.0;0.08;6th Gen;Home Console;Sony;major league baseball 2k7
Major League Baseball 2K8;PlayStation 2;2008;Kush Games;0.15;0.07;0.06;0.0;0.02;6th Gen;Home Console;Sony;major league baseball 2k8
Major League Baseball 2K9;PlayStation 2;2009;Visual Concepts;0.16;0.08;0.06;0.0;0.02;6th Gen;Home Console;Sony;major league baseball 2k9
Major League Baseball Featuring Ken Griffey Jr;Nintendo 64;1998;Angel Studios;0.79;0.75;0.03;0.0;0.01;5th Gen;Home Console;Nintendo;major league baseball featuring ken griffey jr
Makai Kingdom: Chronicles of the Sacred Tome;PlayStation 2;2005;Nippon Ichi Software;0.13;0.06;0.05;0.0;0.02;6th Gen;Home Console;Sony;makai kingdom chronicles of the sacred tome
Makai Shin Trillion;PlayStation Vita;2014;;0.11;0.02;0.02;0.06;0.01;8th Gen;Handheld;Sony;makai shin trillion
Malice;PlayStation 2;2004;Argonaut Games;0.02;0.01;0.01;0.0;0.0;6th Gen;Home Console;Sony;malice
Mana Khemia 2: Fall of Alchemy;PlayStation 2;2009;Gust;0.19;0.07;0.05;0.05;0.02;6th Gen;Home Console;Sony;mana khemia 2 fall of alchemy
Mana Khemia: Alchemists of Al-Revis;PlayStation 2;2008;Gust;0.06;0.03;0.02;0.0;0.01;6th Gen;Home Console;Sony;mana khemia alchemists of al revis
Manhunt;PlayStation 2;2003;Rockstar North;1.28;0.63;0.49;0.0;0.16;6th Gen;Home Console;Sony;manhunt
Manhunt;Xbox;2004;Rockstar North;0.19;0.14;0.04;0.0;0.01;6th Gen;Home Console;Microsoft;manhunt
Manhunt 2;PlayStation 2;2007;Rockstar London;0.55;0.27;0.21;0.0;0.07;6th Gen;Home Console;Sony;manhunt 2
Manhunt 2;PlayStation Portable;2007;Rockstar London;0.32;0.04;0.18;0.0;0.1;6th Gen;Handheld;Sony;manhunt 2
Manhunt 2;Wii;2007;Rockstar Toronto;0.54;0.25;0.23;0.0;0.06;7th Gen;Home Console;Nintendo;manhunt 2
Marble Saga: Kororinpa;Wii;2009;Hudson Soft;0.15;0.09;0.05;0.0;0.01;7th Gen;Home Console;Nintendo;marble saga kororinpa
Marc Ecko's Getting Up: Contents Under Pressure;PlayStation 2;2006;The Collective, Inc.;0.06;0.03;0.02;0.0;0.01;6th Gen;Home Console;Sony;marc eckos getting up contents under pressure
Mario & Luigi: Bowser's Inside Story;Nintendo DS;2009;AlphaDream Corporation;3.82;2.26;0.48;0.81;0.27;7th Gen;Handheld;Nintendo;mario & luigi bowsers inside story
Mario & Luigi: Dream Team;Nintendo 3DS;2013;AlphaDream Corporation;2.05;0.89;0.57;0.46;0.13;8th Gen;Handheld;Nintendo;mario & luigi dream team
Mario & Luigi: Paper Jam;Nintendo 3DS;2015;;0.75;0.16;0.3;0.25;0.04;8th Gen;Handheld;Nintendo;mario & luigi paper jam
Mario & Luigi: Partners in Time;Nintendo DS;2005;AlphaDream Corporation;1.35;0.77;0.07;0.43;0.08;7th Gen;Handheld;Nintendo;mario & luigi partners in time
Mario & Luigi Superstar Saga + Bowser's Minions;Nintendo 3DS;2017;AlphaDream Corporation;0.52;0.2;0.2;0.08;0.04;8th Gen;Handheld;Nintendo;mario & luigi superstar saga + bowsers minions
Mario & Sonic at the London 2012 Olympic Games;Nintendo 3DS;2012;Sega;1.19;0.18;0.66;0.27;0.08;8th Gen;Handheld;Nintendo;mario & sonic at the london 2012 olympic games
Mario & Sonic at the London 2012 Olympic Games;Wii;2011;Sega;3.78;1.14;1.91;0.27;0.46;7th Gen;Home Console;Nintendo;mario & sonic at the london 2012 olympic games
Mario & Sonic at the Olympic Games;Nintendo DS;2008;Sega;5.1;1.63;2.46;0.44;0.57;7th Gen;Handheld;Nintendo;mario & sonic at the olympic games
Mario & Sonic at the Olympic Games;Wii;2007;Sega;8.05;2.58;3.9;0.66;0.91;7th Gen;Home Console;Nintendo;mario & sonic at the olympic games
Mario & Sonic at the Olympic Winter Games;Nintendo DS;2009;Sega;3.48;1.21;1.63;0.27;0.37;7th Gen;Handheld;Nintendo;mario & sonic at the olympic winter games
