;Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company;Name_norm
13699;SpongeBob's Atlantis SquarePantis;PlayStation 2;2007;Blitz Games;0.43;0.36;0.01;0.0;0.06;6th Gen;Home Console;Sony;spongebobs atlantis squarepantis
13702;SpongeBob's Boating Bash;Wii;2010;Impulse Games;0.34;0.24;0.07;0.0;0.03;7th Gen;Home Console;Nintendo;spongebobs boating bash
13703;SpongeBob's Surf & Skate Roadtrip;Nintendo DS;2011;THQ;0.12;0.1;0.01;0.0;0.01;7th Gen;Handheld;Nintendo;spongebobs surf & skate roadtrip
13704;SpongeBob's Surf & Skate Roadtrip;Xbox 360;2011;THQ;0.2;0.15;0.03;0.0;0.02;7th Gen;Home Console;Microsoft;spongebobs surf & skate roadtrip
13705;SpongeBob's Truth or Square;Nintendo DS;2009;Heavy Iron Studios;0.15;0.07;0.07;0.0;0.01;7th Gen;Handheld;Nintendo;spongebobs truth or square
13706;SpongeBob's Truth or Square;PlayStation Portable;2009;Heavy Iron Studios;0.07;0.02;0.04;0.0;0.01;6th Gen;Handheld;Sony;spongebobs truth or square
13707;SpongeBob's Truth or Square;Xbox 360;2009;Heavy Iron Studios;0.07;0.03;0.04;0.0;0.0;7th Gen;Home Console;Microsoft;spongebobs truth or square
13710;SpongeBob's Truth or Square (US sales);Wii;2009;Heavy Iron Studios;0.39;0.38;0.01;0.0;0.0;7th Gen;Home Console;Nintendo;spongebobs truth or square (us sales)
13715;Spongebob Squarepants: Creature from the Krusty Krab;GameCube;2006;Blitz Games;0.33;0.25;0.07;0.0;0.01;6th Gen;Home Console;Nintendo;spongebob squarepants creature from the krusty krab
13716;Spore Creatures;Nintendo DS;2008;Foundation 9;1.06;0.66;0.3;0.0;0.1;7th Gen;Handheld;Nintendo;spore creatures
13717;Spore Hero;Wii;2009;Maxis;0.4;0.35;0.02;0.0;0.03;7th Gen;Home Console;Nintendo;spore hero
13719;Sports Car GT;PlayStation;1999;Point of View;0.21;0.12;0.08;0.0;0.01;5th Gen;Home Console;Sony;sports car gt
13720;Sports Champions;PlayStation 3;2010;SCE San Diego Studio;3.88;2.15;1.13;0.1;0.5;7th Gen;Home Console;Sony;sports champions
