;Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company;Name_norm
9331;Virtua Tennis 4: World Tour;PlayStation Vita;2012;Sega;0.48;0.04;0.34;0.01;0.09;8th Gen;Handheld;Sony;virtua tennis 4 world tour
9332;Virtua Tennis: World Tour (US & Others sales);PlayStation Portable;2005;Sumo Digital;0.66;0.16;0.36;0.0;0.14;6th Gen;Handheld;Sony;virtua tennis world tour (us & others sales)
9333;Virtual Chess 64;Nintendo 64;1998;Titus Software;0.06;0.05;0.01;0.0;0.0;5th Gen;Home Console;Nintendo;virtual chess 64
9334;Virtual Pool;PlayStation;1997;Celeris;0.5;0.28;0.19;0.0;0.03;5th Gen;Home Console;Sony;virtual pool
9335;Virtual Pool 64;Nintendo 64;1998;Celeris;0.1;0.08;0.02;0.0;0.0;5th Gen;Home Console;Nintendo;virtual pool 64
9336;Virtual Pool: Tournament Edition;Xbox;2005;Celeris;0.03;0.02;0.01;0.0;0.0;6th Gen;Home Console;Microsoft;virtual pool tournament edition
9337;Virtual Villagers: A New Home;Nintendo DS;2010;Keen Games;0.05;0.04;0.01;0.0;0.0;7th Gen;Handheld;Nintendo;virtual villagers a new home
9338;Viva Pinata;Xbox 360;2006;Rare Ltd.;1.63;0.45;0.96;0.02;0.2;7th Gen;Home Console;Microsoft;viva pinata
9339;Viva Pinata: Party Animals;Xbox 360;2007;Krome Studios;0.23;0.19;0.02;0.0;0.02;7th Gen;Home Console;Microsoft;viva pinata party animals
9340;Viva Pinata: Pocket Paradise;Nintendo DS;2008;Rare Ltd.;0.55;0.26;0.23;0.0;0.06;7th Gen;Handheld;Nintendo;viva pinata pocket paradise
9341;Viva Pinata: Trouble in Paradise;Xbox 360;2008;Rare Ltd.;0.47;0.16;0.25;0.01;0.05;7th Gen;Home Console;Microsoft;viva pinata trouble in paradise
9342;Viz;Nintendo 64;1998;;0.29;0.23;0.06;0.0;0.0;5th Gen;Home Console;Nintendo;viz
9343;VMX Racing;PlayStation;1997;Studio E;0.29;0.16;0.11;0.0;0.02;5th Gen;Home Console;Sony;vmx racing
9344;Voodoo Vince;Xbox;2003;Beep Industries;0.12;0.09;0.03;0.0;0.0;6th Gen;Home Console;Microsoft;voodoo vince
9345;VR Golf '97;PlayStation;1996;Gremlin Interactive;0.16;0.09;0.06;0.0;0.01;5th Gen;Home Console;Sony;vr golf 97
9346;VR Soccer '96;PlayStation;1996;Gremlin Interactive;0.05;0.03;0.02;0.0;0.0;5th Gen;Home Console;Sony;vr soccer 96
9347;Waialae Country Club: True Golf Classics;Nintendo 64;1998;Tikipod;0.59;0.48;0.11;0.0;0.0;5th Gen;Home Console;Nintendo;waialae country club true golf classics
9348;Wakeboarding Unleashed Featuring Shaun Murray;PlayStation 2;2003;Shaba Games;0.16;0.08;0.06;0.0;0.02;6th Gen;Home Console;Sony;wakeboarding unleashed featuring shaun murray
9349;Wakeboarding Unleashed Featuring Shaun Murray;Xbox;2003;Shaba Games;0.05;0.04;0.01;0.0;0.0;6th Gen;Home Console;Microsoft;wakeboarding unleashed featuring shaun murray
9350;Walk it Out!;Wii;2010;Konami;0.44;0.35;0.06;0.0;0.03;7th Gen;Home Console;Nintendo;walk it out!
9351;Wall-E;Nintendo DS;2008;Heavy Iron Studios;1.45;0.46;0.82;0.0;0.17;7th Gen;Handheld;Nintendo;wall e
9352;Wall-E;PlayStation 3;2008;Heavy Iron Studios;0.41;0.12;0.21;0.0;0.08;7th Gen;Home Console;Sony;wall e
9353;Wall-E;PlayStation Portable;2008;Heavy Iron Studios;0.65;0.29;0.22;0.0;0.14;6th Gen;Handheld;Sony;wall e
9354;Wall-E;Wii;2008;Heavy Iron Studios;1.02;0.51;0.4;0.0;0.11;7th Gen;Home Console;Nintendo;wall e
9355;Wall-E;Xbox 360;2008;Heavy Iron Studios;0.62;0.29;0.26;0.0;0.07;7th Gen;Home Console;Microsoft;wall e
9356;Wallace & Gromit: Curse of the Were-Rabbit;PlayStation 2;2005;Frontier Developments;0.13;0.06;0.05;0.0;0.02;6th Gen;Home Console;Sony;wallace & gromit curse of the were rabbit
9357;Wallace & Gromit in Project Zoo;GameCube;2003;Frontier Developments;0.06;0.05;0.01;0.0;0.0;6th Gen;Home Console;Nintendo;wallace & gromit in project zoo
9358;Wallace & Gromit in Project Zoo;PlayStation 2;2003;Frontier Developments;0.23;0.11;0.09;0.0;0.03;6th Gen;Home Console;Sony;wallace & gromit in project zoo
9359;Wallace & Gromit in Project Zoo;Xbox;2003;Frontier Developments;0.03;0.02;0.01;0.0;0.0;6th Gen;Home Console;Microsoft;wallace & gromit in project zoo
9360;Walt Disney Pictures Presents Enchanted;Nintendo DS;2007;Altron;0.05;0.04;0.01;0.0;0.0;7th Gen;Handheld;Nintendo;walt disney pictures presents enchanted
9361;Walt Disney World Quest: Magical Racing Tour;PlayStation;2000;Crystal Dynamics;0.45;0.25;0.17;0.0;0.03;5th Gen;Home Console;Sony;walt disney world quest magical racing tour
9362;Walt Disney's The Jungle Book: Rhythm N'Groove;PlayStation;2000;Ubisoft;0.09;0.05;0.03;0.0;0.01;5th Gen;Home Console;Sony;walt disneys the jungle book rhythm ngroove
9363;Walt Disney's The Jungle Book: Rhythm N'Groove;PlayStation 2;2003;Ubisoft Shanghai;0.25;0.12;0.1;0.0;0.03;6th Gen;Home Console;Sony;walt disneys the jungle book rhythm ngroove
9364;Wanted: Weapons of Fate;PlayStation 3;2009;GRIN;0.29;0.14;0.1;0.01;0.04;7th Gen;Home Console;Sony;wanted weapons of fate
9365;Wanted: Weapons of Fate;Xbox 360;2009;GRIN;0.36;0.17;0.15;0.0;0.04;7th Gen;Home Console;Microsoft;wanted weapons of fate
9366;War Gods;Nintendo 64;1997;Eurocom Entertainment Software;0.29;0.23;0.06;0.0;0.0;5th Gen;Home Console;Nintendo;war gods
9367;War Gods;PlayStation;1997;Midway Games;0.02;0.01;0.01;0.0;0.0;5th Gen;Home Console;Sony;war gods
9368;War of the Monsters;PlayStation 2;2003;Incognito Entertainment;0.53;0.26;0.2;0.0;0.07;6th Gen;Home Console;Sony;war of the monsters
9369;WarCraft II: The Dark Saga;PlayStation;1997;Blizzard Entertainment;0.32;0.18;0.12;0.0;0.02;5th Gen;Home Console;Sony;warcraft ii the dark saga
9370;Warhammer 40,000: Fire Warrior;PlayStation 2;2003;Kuju Entertainment;0.16;0.08;0.06;0.0;0.02;6th Gen;Home Console;Sony;warhammer 40,000 fire warrior
9371;Warhammer 40,000: Space Marine;PlayStation 3;2011;Relic Entertainment;0.45;0.13;0.24;0.0;0.08;7th Gen;Home Console;Sony;warhammer 40,000 space marine
9372;Warhammer 40,000: Space Marine;Xbox 360;2011;Relic Entertainment;0.57;0.25;0.26;0.0;0.06;7th Gen;Home Console;Microsoft;warhammer 40,000 space marine
9373;Warhammer 40,000: Squad Command;Nintendo DS;2007;RedLynx;0.07;0.05;0.01;0.0;0.01;7th Gen;Handheld;Nintendo;warhammer 40,000 squad command
9374;Warhammer 40,000: Squad Command;PlayStation Portable;2007;RedLynx;0.33;0.11;0.14;0.0;0.08;6th Gen;Handheld;Sony;warhammer 40,000 squad command
9375;Warhammer: Battle March;Xbox 360;2008;Namco Bandai Games;0.12;0.09;0.02;0.0;0.01;7th Gen;Home Console;Microsoft;warhammer battle march
9376;Warhammer: Dark Omen;PlayStation;1998;Games Workshop;0.03;0.02;0.01;0.0;0.0;5th Gen;Home Console;Sony;warhammer dark omen
9377;Warhammer: Shadow of the Horned Rat;PlayStation;1996;Games Workshop;0.19;0.11;0.07;0.0;0.01;5th Gen;Home Console;Sony;warhammer shadow of the horned rat
9378;Warhammer: The End Times - Vermintide;PlayStation 4;2016;Fatshark;0.07;0.03;0.03;0.0;0.01;8th Gen;Home Console;Sony;warhammer the end times vermintide
9379;Warhawk;PlayStation;1995;SingleTrac;0.45;0.25;0.17;0.0;0.03;5th Gen;Home Console;Sony;warhawk
9380;Warhawk;PlayStation 3;2007;Incognito Entertainment;1.05;0.49;0.39;0.0;0.17;7th Gen;Home Console;Sony;warhawk
9381;Wario Land: Shake It!;Wii;2008;Good-Feel;1.17;0.6;0.31;0.15;0.11;7th Gen;Home Console;Nintendo;wario land shake it!
9382;Wario: Master of Disguise;Nintendo DS;2007;Suzak;0.66;0.28;0.02;0.33;0.03;7th Gen;Handheld;Nintendo;wario master of disguise
9383;Wario World;GameCube;2003;Treasure Co., Ltd.;0.44;0.34;0.09;0.0;0.01;6th Gen;Home Console;Nintendo;wario world
9384;WarioWare D.I.Y.;Nintendo DS;2010;Intelligent Systems;0.59;0.17;0.18;0.2;0.04;7th Gen;Handheld;Nintendo;warioware d.i.y.
9385;WarioWare D.I.Y.;Nintendo DS;2009;;0.61;0.18;0.19;0.2;0.04;7th Gen;Handheld;Nintendo;warioware d.i.y.
9386;WarioWare Gold;Nintendo 3DS;2018;Intelligent Systems;0.28;0.11;0.03;0.13;0.01;8th Gen;Handheld;Nintendo;warioware gold
9387;WarioWare: Smooth Moves;Wii;2006;;2.92;0.87;1.06;0.73;0.26;7th Gen;Home Console;Nintendo;warioware smooth moves
9388;WarioWare Touched!;Nintendo DS;2004;;2.31;0.52;0.45;1.21;0.13;7th Gen;Handheld;Nintendo;warioware touched!
9389;WarioWare, Inc.: Mega Party Game$;GameCube;2004;Nintendo R&D1;0.71;0.2;0.05;0.44;0.02;6th Gen;Home Console;Nintendo;warioware, inc. mega party game$
9390;WarJetz;PlayStation 2;2001;3DO;0.05;0.02;0.02;0.0;0.01;6th Gen;Home Console;Sony;warjetz
9391;Warpath: Jurassic Park;PlayStation;1999;Black Ops Entertainment;0.27;0.15;0.1;0.0;0.02;5th Gen;Home Console;Sony;warpath jurassic park
9392;Warriors: Legends of Troy;PlayStation 3;2011;Tecmo Koei Canada;0.2;0.06;0.05;0.07;0.02;7th Gen;Home Console;Sony;warriors legends of troy
