;Name;Platform_norm;Year;developer;Global_Sales;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Generation;Console_Type;Company;Name_norm
15791;Top Trumps: Dogs & Dinosaurs;Nintendo DS;2007;Sogoplay;0.0;0.0;0.0;0.0;0.0;7th Gen;Handheld;Nintendo;top trumps dogs & dinosaurs
15792;Top Trumps: Horror & Predators;Nintendo DS;2007;Ubisoft;0.0;0.0;0.0;0.0;0.0;7th Gen;Handheld;Nintendo;top trumps horror & predators
15793;ToraDora Portable!;PlayStation Portable;2009;Silicon Studio;0.08;0.0;0.0;0.08;0.0;6th Gen;Handheld;Sony;toradora portable!
15794;Tori no Hoshi: Aerial Planet;PlayStation 2;2008;Nippon Ichi Software;0.01;0.0;0.0;0.01;0.0;6th Gen;Home Console;Sony;tori no hoshi aerial planet
15795;Toriko: Gourmet Battle!;Nintendo 3DS;2013;Bandai Namco Games;0.06;0.0;0.0;0.06;0.0;8th Gen;Handheld;Nintendo;toriko gourmet battle!
15796;Toriko: Gourmet Monsters!;Nintendo 3DS;2012;Namco Bandai Games;0.16;0.0;0.0;0.16;0.0;8th Gen;Handheld;Nintendo;toriko gourmet monsters!
15797;Toriko: Gourmet Survival!;PlayStation Portable;2011;Namco Bandai Games;0.36;0.0;0.0;0.36;0.0;6th Gen;Handheld;Sony;toriko gourmet survival!
15798;Toriko: Ultimate Survival;Nintendo 3DS;2013;Natsume Atari;0.03;0.0;0.0;0.03;0.0;8th Gen;Handheld;Nintendo;toriko ultimate survival
15799;Torino 2006;PlayStation 2;2006;49Games;0.13;0.06;0.05;0.0;0.02;6th Gen;Home Console;Sony;torino 2006
15800;Torino 2006;Xbox;2006;49Games;0.04;0.03;0.01;0.0;0.0;6th Gen;Home Console;Microsoft;torino 2006
15801;Tork: Prehistoric Punk;Xbox;2005;Tiwak SAS;0.03;0.02;0.01;0.0;0.0;6th Gen;Home Console;Microsoft;tork prehistoric punk
15802;Torment: Tides of Numenera;PlayStation 4;2017;InXile Entertainment;0.01;0.01;0.0;0.0;0.0;8th Gen;Home Console;Sony;torment tides of numenera
15803;Torment: Tides of Numenera;Xbox One;2017;InXile Entertainment;0.01;0.01;0.0;0.0;0.0;8th Gen;Home Console;Microsoft;torment tides of numenera
15804;Tornado;Nintendo DS;2008;SKONEC Entertainment;0.08;0.07;0.0;0.0;0.01;7th Gen;Handheld;Nintendo;tornado
15805;Tornado Outbreak;PlayStation 3;2009;Loose Cannon Studios;0.09;0.08;0.0;0.0;0.01;7th Gen;Home Console;Sony;tornado outbreak
15806;Tornado Outbreak;Wii;2009;Loose Cannon Studios;0.1;0.09;0.0;0.0;0.01;7th Gen;Home Console;Nintendo;tornado outbreak
